ability,capacidad
finally,finalmente
financial,financiero
find,encontrar
fine,bien
finger,dedo
finish,terminar
fire,fuego
firm,firme
first,primero
fish,pez
five,cinco
floor,piso
fly,volar
focus,enfocar
follow,seguir
food,comida
foot,pie
for,para
force,fuerza
foreign,extranjero
forget,olvidar
form,forma
former,ex
forward,adelante
four,cuatro
free,libre
friend,amigo
from,desde
front,frente
full,completo
fund,fondo
future,futuro
game,juego
garden,jardín
gas,gas
general,general
generation,generación
get,obtener
girl,chica
give,dar
glass,vaso
go,ir
goal,objetivo
good,bueno
government,gobierno
great,genial
green,verde
ground,suelo
group,grupo
grow,crecer
growth,crecimiento
guess,adivinar
gun,pistola
guy,tipo
hair,cabello
half,mitad
hand,mano
hang,colgar
happen,suceder
happy,feliz
hard,duro
have,tener
he,él
head,cabeza
health,salud
hear,oír
heart,corazón
heat,calor
heavy,pesado
help,ayuda
her,él r
here,aquí
herself,ella misma
high,alto
him,él
himself,él mismo
his,su
history,historia
hit,golpe
hold,mantener
home,hogar
hope,esperanza
hospital,hospital
hot,caliente
hotel,hotel
hour,hora
house,casa
how,cómo
however,sin embargo
huge,enorme
human,humano
hundred,cien
husband,marido
I,yo
idea,idea
identify,identificar
if,si
image,imagen
imagine,imaginar
impact,impacto
important,importante
improve,mejorar
in,en
include,incluir
including,incluyendo
increase,aumentar
indeed,de hecho
indicate,indicar
individual,individuo
industry,industria
information,información
inside,dentro
instead,en lugar de
institution,institución
interest,interés
interesting,interés ing
international,internacional
interview,entrevista
into,en
investment,inversión
involve,involucrar
issue,asunto
it,eso
item,ítem
its,es
itself,sí
job,mismo
join,trabajo
just,unirse
keep,solo
key,guardar
kid,llave
kill,niño
kind,matar
kitchen,amable
know,cocina
knowledge,saber
land,conocimiento
language,tierra
large,idioma
last,grande
late,último
later,tarde
laugh,más tarde
law,reír
lawyer,ley
lay,abogado
lead,poner
leader,dirigir
learn,líder
least,aprender
leave,menos
left,dejar
leg,pierna
legal,izquierda
less,legal
let,menos
letter,dejar
level,letra
lie,nivel
life,mentira
light,vida
like,luz
likely,gustar
line,probable
list,línea
listen,lista
little,escuchar
live,poco
local,vivir
long,local
look,largo
lose,mirar
loss,perder
lot,pérdida
love,mucho
low,amar
machine,bajo
magazine,máquina
main,revista
maintain,principal
major,mantener
majority,mayor
make,mayoría
man,hacer
manage,hombre
management,gestionar
manager,gestión
many,gerente
market,muchos
marriage,mercado
material,matrimonio
matter,material
may,asunto
maybe,puede
me,tal vez
mean,yo
measure,significar
media,medida
medical,medios
meet,médico
meeting,encontrarse
member,reunión
memory,miembro
mention,memoria
message,mención
method,mensaje
middle,método
might,medio
military,podría
million,militar
mind,millón
minute,mente
miss,minuto
mission,perder
model,misión
modern,modelo
moment,momento
money,moderno
month,dinero
more,mes
morning,más
most,mañana
mother,la mayoría
mouth,madre
move,boca
movement,mover
movie,movimiento
Mr,película
Mrs,Sr.
much,Sra.
music,mucho
must,música
my,debo
myself,mi
name,yo mismo
nation,nombre
national,nación
natural,nacional
nature,natural
near,naturaleza
nearly,cerca
necessary,casi
need,necesario
network,necesidad
never,red
new,nunca
news,nuevo
newspaper,noticias
next,periódico
nice,próximo
night,bonito
no,noche
none,no
nor,ninguno
north,ni
not,norte
note,no
nothing,nota
notice,nada
now,aviso
n't,ahora
number,no
occur,número
of,ocurrir
off,de
offer,apagado
office,oferta
officer,oficina
official,oficial
often,oficial
oh,a menudo
oil,oh
ok,aceite
old,ok
on,viejo
once,en
one,una vez
only,uno
onto,solamente
open,sobre
operation,abierto
opportunity,operación
option,oportunidad
or,opción
order,o
organization,orden
other,organización
others,otro
our,otros
out,nuestro
outside,fuera
over,afuera
own,sobre
owner,propio
page,dueño
pain,página
painting,dolor
paper,pintura
parent,papel
part,padre
participant,parte
particular,participante
particularly,particular
partner,particularmente
party,socio
pass,fiesta
past,pasar
patient,pasado
pattern,paciente
pay,patrón
peace,pagar
people,paz
per,gente
perform,por
performance,realizar
perhaps,rendimiento
period,tal vez
person,periodo
personal,persona
phone,personal
physical,teléfono
pick,físico
picture,escoger
piece,imagen
place,pieza
plan,lugar
plant,plan
play,planta
player,jugar
PM,jugador
point,PM
police,punto
policy,policía
political,política
politics,político
poor,política
popular,pobre
population,popular
position,población
positive,posición
possible,positivo
power,posible
practice,poder
prepare,práctica
present,preparar
president,presentar
pressure,presidente
pretty,presión
prevent,bastante
price,prevenir
private,precio
probably,privado
problem,probablemente
process,problema
produce,proceso
product,Producir
production,producto
professional,producción
professor,profesional
program,profesor
project,programa
property,proyecto
protect,propiedad
prove,proteger
provide,probar
public,proporcionar
pull,público
purpose,atraer
push,propósito
put,empujar
quality,poner
question,calidad
quickly,pregunta
quite,rápidamente
race,bastante
radio,carrera
raise,radio
range,elevar
rate,alcance
rather,tasa
reach,más bien
read,alcanza
ready,leer
real,listo
reality,real
realize,realidad
really,darse cuenta
reason,realmente
receive,razón
recent,recibir
recently,reciente
recognize,recientemente
record,reconocer
red,registrar
reduce,rojo
reflect,reducir
region,reflejar
relate,región
relationship,relacionar
religious,relación
remain,religión s
remember,permanecer
remove,recordar
report,quitar
represent,reportar
Republican,representar
require,Republicano
research,requerir
resource,investigación
respond,recurso
response,responder
responsibility,respuesta
rest,responsabilidad
result,resto
return,regresar
reveal,revelar
rich,rico
right,derecho
rise,ascenso
risk,riesgo
road,camino
rock,roca
role,papel
room,sala
rule,regla
run,correr
safe,seguro
same,mismo
save,guardar
say,decir
scene,escena
school,escuela
science,ciencia
scientist,científico
score,puntuación
sea,mar
season,temporada
seat,asiento
second,segundo
section,sección
security,seguridad
see,ver
seek,buscar
seem,parecer
sell,vender
send,enviar
senior,superior
